index, Location Median Error, Location Std Error
1,0.2342514097690582,0.3246994788510543
2,0.3266006112098694,0.3215100878667236
3,0.3765712082386017,0.4424869175462949
4,0.4613994359970093,0.4995997796299968
5,0.5664650797843933,0.4712418762053793
6,0.6346599459648132,0.4884657042315741
7,0.6324661374092102,0.5035156556389261
8,0.8502656817436218,0.6000110723090306
9,0.8733867406845093,0.6224935698113881
10,0.7816848158836365,0.6185718454904212
11,0.7257612347602844,0.5691775113229749
12,0.8822472095489502,0.6324891185916638
13,1.0127103328704834,0.6837171124065707
14,0.7627922892570496,0.4843309224779471
15,0.131817027926445,0.1237656840254006
16,0.295516699552536,0.3301691855329823
17,0.4143524169921875,0.4243403691185548
18,0.1320559382438659,0.1493741636004969
19,0.0965731590986251,0.1250600237027905
20,0.11304272711277,0.1248390064044551
21,0.0942273736000061,0.1196085915523469
22,0.1528732776641845,0.161654825160578
23,0.0942439213395118,0.098936681134634
24,0.1355430781841278,0.2022650727647313
25,0.2371129840612411,0.259791967519885
26,0.1322277784347534,0.1448011400706632
27,0.2223249673843383,0.3042359114758667
28,0.215408444404602,0.2905579807372024
29,0.2698570489883423,0.2523994606243305
30,0.2444311529397964,0.3392617400978463
31,0.1994140744209289,0.3539102645933089
32,0.2176273614168167,0.3444971470910256
33,0.4830988049507141,0.314565125514943
34,1.0380877256393433,1.1133085918862071
35,1.3789803981781006,0.7459227483147592
36,0.9750743508338928,0.7506323341632848
37,0.7651568651199341,0.5385231437402669
