inference_speed
0.026663
0.001082
0.001134
0.002166
0.004152
0.002311
0.006704
0.000595
0.000735
0.000705
0.001780
0.003502
0.017632
0.007638
0.003614
0.005562
0.014862
0.002897
0.001403
0.001482
0.000411
0.005253
0.009865
0.016800
0.007349
0.017254
0.019595
0.006009
0.001775
0.001874
0.000156
0.002960
0.001782
0.002893
0.004958
0.006603
0.008456
0.003226
0.000560
0.000594
0.000464
0.000441
0.006210
0.006792
0.007818
0.014449
0.011471
0.005641
0.006435
0.001364
