inference_speed
0.161666
0.014651
0.031707
0.027183
0.012204
0.024816
0.023627
0.024417
0.005780
0.021138
0.025544
0.022914
0.019312
0.030462
0.022509
0.021639
0.027682
0.007545
0.006248
0.005587
0.019123
0.037439
0.026517
0.010635
0.034524
0.044987
