Encoder Nums, Location Median Error, Location Std Error
2, 0.4072075196801457, 0.28946600604091727
4, 0.3892424253768514, 0.2797763561376786
6, 0.3708879592274477, 0.2836843957419604
8, 0.3982121776167341, 0.2882161761940871
